step,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,lr
1,0.09061625651115139,0.19083720445632935,0.3010373115539551,-0.8508670330047607,0.02251328008347436,0.1269596964120865,0.14985761046409607,0.5413219928741455,0.001
2,0.021838238337796006,0.11387238651514053,0.14777791500091553,0.5539807081222534,0.01545809253462051,0.10300402343273163,0.12396271526813507,0.6861425638198853,0.001
3,0.018765283242218045,0.10626246780157089,0.13698747754096985,0.6167374849319458,0.05645254215127543,0.1971035897731781,0.23748283088207245,-0.15189993381500244,0.001
4,0.016286335998033516,0.09857354313135147,0.1276170164346695,0.6673773527145386,0.01833803951740265,0.10912838578224182,0.13516871631145477,0.626833438873291,0.001
5,0.01493292332520621,0.09440604597330093,0.12220128625631332,0.6950095891952515,0.015428746119141579,0.1007867306470871,0.12398720532655716,0.6860184669494629,0.001
6,0.013646530212471948,0.09003129601478577,0.11681923270225525,0.7212830781936646,0.012160305031820348,0.0911019816994667,0.110089011490345,0.7524640560150146,0.001
7,0.012934245137910316,0.08746983110904694,0.11372756212949753,0.7358405590057373,0.005520395615971402,0.05453597381711006,0.07390487194061279,0.888443112373352,0.001
8,0.012258825992427816,0.08497051149606705,0.11071987450122833,0.749627947807312,0.009631256474868247,0.08074064552783966,0.09784485399723053,0.8044642210006714,0.001
9,0.01065501729463971,0.07925726473331451,0.10322349518537521,0.7823835611343384,0.015162217871923196,0.10572879761457443,0.12286264449357986,0.6916882991790771,0.001
10,0.010767446677731787,0.07941345125436783,0.10376729816198349,0.7800846099853516,0.016307744687717212,0.11011366546154022,0.1275455802679062,0.6677377223968506,0.001
11,0.01020408168297586,0.0773734599351883,0.10101571679115295,0.7915928959846497,0.005823025161302404,0.05848381668329239,0.07604894787073135,0.8818764090538025,0.001
12,0.009455181661393218,0.07451885938644409,0.09723871946334839,0.8068863153457642,0.005755217035153979,0.058363236486911774,0.07555385679006577,0.8834093809127808,0.001
13,0.009013416592481753,0.0725344642996788,0.0949384868144989,0.8159146308898926,0.004427356192057854,0.047296080738306046,0.06617989391088486,0.9105454683303833,0.001
14,0.008738698659702235,0.07130007445812225,0.09348137676715851,0.8215219974517822,0.0057899743122489826,0.059289317578077316,0.07581155747175217,0.8826127052307129,0.001
15,0.008068753028250981,0.06857503205537796,0.08982685953378677,0.8352038860321045,0.007414863616424172,0.06803970783948898,0.08576073497533798,0.8497801423072815,0.001
16,0.008131232487675328,0.06840446591377258,0.09017331153154373,0.833930253982544,0.004231278110589636,0.04620649293065071,0.06474561989307404,0.9143807888031006,0.001
17,0.0074941232244190355,0.06570684164762497,0.08656863868236542,0.8469420671463013,0.004836234521414889,0.05014950409531593,0.06933838874101639,0.9018030762672424,0.001
18,0.007495457400261555,0.0654100775718689,0.08657421916723251,0.8469223976135254,0.009409171921250067,0.08003295212984085,0.09677746891975403,0.8087071180343628,0.001
19,0.007020039927689421,0.06358806043863297,0.08378475159406662,0.8566279411315918,0.007117895679058213,0.06606923788785934,0.08409247547388077,0.8555676341056824,0.001
20,0.0068796034496052556,0.06313047558069229,0.08294309675693512,0.8594939112663269,0.008143505253093807,0.07388170808553696,0.09008011966943741,0.8342673182487488,0.001
21,0.006547023473470003,0.06147029623389244,0.08091380447149277,0.8662850856781006,0.0058080747870630335,0.05883408337831497,0.07592767477035522,0.8822528123855591,0.001
22,0.006241190691022265,0.059826575219631195,0.07899998128414154,0.8725357055664062,0.005559801295595734,0.05799756199121475,0.07436937838792801,0.8870363831520081,0.001
